Phi,d50_um,sigma,SP_percent,phi_max,m1_Pa,Tau0_Pa
0.4928,16.968,1.5508,1.005,0.8626,0.8166,0.3065
0.4902,18.394,1.626,0.974,0.8502,0.6096,0.2345
0.4814,17.973,1.7828,0.575,0.6753,0.7252,0.6177
0.4891,18.382,1.5807,0.992,0.8562,0.6869,0.2557
0.5035,15.958,1.7853,0.497,0.6633,0.6219,0.7489
0.4626,18.323,1.562,0.957,0.8427,0.6857,0.2119
0.4684,14.028,1.5171,1.089,0.9363,0.6412,0.1504
0.4819,18.553,1.5059,0.618,0.7242,0.7895,0.5036
0.4739,18.808,1.6251,0.588,0.6972,0.6714,0.459
0.4744,16.586,1.5337,1.045,0.9111,0.7047,0.1891
0.4923,16.153,1.557,0.866,0.815,0.6417,0.2912
0.4652,18.433,1.8007,0.729,0.7392,0.633,0.3146
0.4716,17.945,1.8567,0.553,0.6973,0.6783,0.4522
0.4918,14.793,1.8523,0.86,0.8243,0.7882,0.3423
0.4751,15.165,1.8802,1.033,0.9211,0.6265,0.1635
0.4906,14.331,1.5077,0.774,0.8008,0.6968,0.3314
0.4866,16.253,1.5047,0.99,0.8632,0.7299,0.2586
0.48,15.376,1.5625,0.868,0.8317,0.7622,0.2882
0.5091,14.547,1.8863,0.85,0.8034,0.7465,0.4164
0.4742,16.648,1.6391,1.03,0.9063,0.7357,0.2003
0.4534,17.378,1.6584,0.925,0.8572,0.6828,0.1839
0.4998,17.31,1.6859,0.878,0.8484,0.7022,0.2964
0.4551,14.335,1.8,1.098,0.9201,0.7488,0.165
0.4887,15.519,1.8684,0.63,0.7368,0.6056,0.3866
0.4999,15.521,1.7099,0.509,0.6514,0.6459,0.8181
0.4629,15.076,1.8446,0.904,0.822,0.7434,0.2498
0.5002,16.147,1.6765,0.537,0.6733,0.767,0.8233
0.4782,17.432,1.5073,0.937,0.865,0.7512,0.2455
0.4865,15.127,1.6004,0.612,0.6929,0.6378,0.5135
0.4734,14.673,1.5691,0.733,0.7824,0.8186,0.3592
0.4822,14.465,1.7357,1.033,0.9132,0.6319,0.18
0.4755,14.0,1.6666,0.378,0.5929,0.7914,1.2231
0.4915,17.622,1.7314,1.093,0.8995,0.626,0.2026
0.481,17.869,1.7408,0.673,0.728,0.7086,0.4389
0.4609,16.1,1.7313,0.949,0.8492,0.7827,0.2323
0.4831,15.887,1.6033,0.617,0.7094,0.8414,0.5909
0.4928,18.754,1.781,0.85,0.8367,0.7903,0.3287
0.4621,17.781,1.639,0.752,0.7522,0.7126,0.3221
0.5097,17.48,1.5616,0.48,0.6473,0.7896,1.1734
0.4611,14.087,1.5196,0.393,0.616,0.8101,0.8316
0.51,18.354,1.813,0.386,0.6274,0.7017,1.2635
0.4756,15.558,1.7101,0.702,0.768,0.7603,0.3642
0.4887,18.451,1.615,0.646,0.7337,0.6498,0.422
0.4617,16.416,1.8353,0.717,0.7665,0.7231,0.3047
0.4574,18.829,1.5823,0.581,0.7133,0.6404,0.3357
0.4695,15.633,1.7493,1.088,0.9278,0.611,0.1487
0.4769,15.291,1.5151,0.931,0.8512,0.6792,0.2311
0.4945,15.626,1.785,0.986,0.8699,0.6757,0.2502
0.4915,15.094,1.524,0.525,0.676,0.7868,0.7491
0.4671,16.556,1.6969,0.502,0.6714,0.6966,0.5177
0.5095,16.605,1.7494,1.045,0.9021,0.8105,0.3028
0.489,15.715,1.6643,0.597,0.698,0.6655,0.5336
0.4944,16.29,1.7277,0.686,0.7614,0.7842,0.4663
0.5019,15.78,1.6136,0.893,0.8283,0.6537,0.3059
0.4811,15.901,1.6595,0.709,0.7307,0.6853,0.4186
0.4575,18.72,1.5595,0.946,0.8446,0.8193,0.24
0.4786,15.979,1.6195,0.553,0.664,0.7513,0.669
0.454,18.161,1.6976,0.699,0.7617,0.7536,0.301
0.4824,15.982,1.6185,0.409,0.6226,0.827,1.0637
0.4966,18.923,1.875,0.842,0.7948,0.7363,0.3803
0.4568,15.705,1.8991,0.902,0.8256,0.7598,0.2378
0.5083,17.054,1.6123,0.599,0.7026,0.649,0.6244
0.5069,15.89,1.5032,1.099,0.9054,0.7817,0.2823
0.4709,14.362,1.882,0.433,0.6423,0.8369,0.7941
0.4612,15.805,1.8409,0.93,0.8479,0.6878,0.2058
0.5072,18.706,1.8505,0.595,0.6957,0.7264,0.7225
0.4555,16.607,1.8586,0.819,0.8029,0.7018,0.2378
0.4845,16.137,1.7581,0.505,0.6624,0.678,0.6543
0.4738,14.601,1.7814,1.073,0.9142,0.672,0.1775
0.4535,16.789,1.6389,0.607,0.6973,0.8416,0.4616
0.4832,15.916,1.8342,0.688,0.7331,0.6745,0.4155
0.4864,15.575,1.5387,0.642,0.711,0.6237,0.4495
0.4562,17.209,1.6888,0.978,0.8523,0.6207,0.1746
0.5041,15.947,1.7167,0.503,0.644,0.8193,1.1654
0.5026,14.509,1.8644,0.532,0.6763,0.6481,0.7007
0.4971,16.313,1.814,0.697,0.7664,0.7216,0.4297
0.4693,17.912,1.7123,0.449,0.6329,0.7681,0.7668
0.4692,16.408,1.6603,0.636,0.7247,0.7559,0.4216
0.4935,15.362,1.8327,0.874,0.815,0.6249,0.2866
0.4865,15.102,1.5746,0.735,0.7509,0.6441,0.3735
0.5092,15.348,1.5401,0.966,0.8616,0.7818,0.3399
0.4819,15.491,1.5506,0.65,0.7457,0.7605,0.4326
0.4918,18.721,1.6897,0.573,0.7097,0.8428,0.6484
0.4507,18.798,1.6951,0.531,0.6928,0.8004,0.4369
0.4695,15.094,1.7381,0.552,0.6703,0.7737,0.5948
0.4735,16.997,1.6675,0.41,0.6051,0.7477,0.9961
0.4515,15.365,1.621,0.633,0.7354,0.6687,0.2947
0.5007,15.641,1.8633,0.35,0.5823,0.6076,1.6059
0.4527,16.109,1.516,0.678,0.7537,0.6656,0.2722
0.4899,15.997,1.561,0.947,0.8785,0.6587,0.2269
0.5069,18.717,1.5394,1.027,0.9118,0.8004,0.2824
0.4554,16.011,1.5205,1.061,0.8937,0.6843,0.1651
0.4512,18.87,1.8646,0.743,0.7672,0.7313,0.2772
0.4681,17.716,1.5193,0.799,0.7818,0.675,0.2822
0.4802,14.504,1.6041,0.361,0.5809,0.66,1.2487
0.4513,15.402,1.5529,1.087,0.8954,0.8036,0.1858
0.4602,15.229,1.6433,0.445,0.6215,0.7296,0.7092
0.4777,14.527,1.8355,0.972,0.8846,0.7773,0.2353
0.4854,17.57,1.5366,0.81,0.803,0.6605,0.2962
0.4663,14.327,1.695,0.92,0.8421,0.7942,0.2545
0.4832,18.862,1.7072,0.905,0.8377,0.6214,0.236
0.4749,18.185,1.8982,0.595,0.7064,0.8326,0.5454
0.4902,17.618,1.7309,0.552,0.6738,0.8334,0.7939
0.4856,18.05,1.6925,0.881,0.8442,0.6304,0.2385
0.4572,17.855,1.6975,0.885,0.8423,0.7403,0.218
0.4954,15.254,1.5482,0.691,0.74,0.8337,0.56
0.4646,15.74,1.8582,1.075,0.9381,0.6619,0.1495
0.4995,17.175,1.8425,1.053,0.9196,0.7067,0.2281
0.4921,17.628,1.5919,0.568,0.6815,0.6741,0.622
0.4795,18.875,1.6644,0.591,0.6869,0.6774,0.5239
0.4927,16.185,1.7374,1.086,0.9216,0.6649,0.2012
0.4985,14.406,1.5083,1.054,0.9194,0.6325,0.2026
0.4527,17.748,1.552,1.004,0.9067,0.8422,0.1899
0.4868,18.097,1.8622,1.002,0.8893,0.7085,0.2284
0.4523,15.216,1.7979,0.888,0.8326,0.7272,0.2124
0.5063,18.129,1.6214,0.954,0.8778,0.7376,0.2937
0.4812,15.99,1.5106,0.907,0.8394,0.7056,0.2616
0.49,16.298,1.6996,0.967,0.8402,0.7355,0.294
0.4958,14.401,1.6767,0.743,0.7542,0.7666,0.4797
0.5003,16.775,1.797,0.744,0.7539,0.7312,0.4789
0.5092,18.525,1.8477,0.426,0.6244,0.6768,1.242
0.5001,18.318,1.6486,0.665,0.7361,0.8182,0.589
0.5099,18.29,1.8991,0.595,0.7122,0.8017,0.7377
0.4842,14.7,1.7073,0.423,0.6304,0.8475,1.044
0.4553,17.91,1.7835,0.916,0.8244,0.8065,0.2503
0.5052,18.409,1.8768,0.553,0.678,0.7422,0.8168
0.4624,14.197,1.8198,0.623,0.7144,0.7726,0.4243
0.4557,17.249,1.5099,1.082,0.9043,0.706,0.1647
0.4748,17.56,1.732,0.525,0.6705,0.8181,0.6679
0.501,18.634,1.7795,0.71,0.7692,0.6899,0.4203
0.4627,16.968,1.7716,0.596,0.6861,0.8226,0.5317
0.4929,14.013,1.6804,0.95,0.8501,0.6432,0.2537
0.4923,14.258,1.7019,0.963,0.8661,0.8418,0.3102
0.4794,17.591,1.5444,0.513,0.6523,0.6,0.5864
0.509,15.409,1.5737,0.388,0.5958,0.7801,1.9905
0.4756,14.859,1.7072,0.812,0.7771,0.6219,0.2856
0.5094,16.214,1.6044,0.584,0.6902,0.6197,0.6564
0.5044,17.782,1.8177,0.791,0.7682,0.7125,0.4511
0.5042,14.125,1.8143,0.529,0.661,0.8425,1.0419
0.4877,18.588,1.855,0.494,0.6434,0.8345,0.9658
0.4614,14.607,1.8944,0.625,0.6981,0.7571,0.4501
0.4871,14.364,1.8287,0.426,0.6117,0.7752,1.1752
0.4706,17.224,1.6421,0.558,0.7059,0.7877,0.4944
0.5034,16.443,1.7413,0.68,0.7571,0.7877,0.5229
0.4841,17.468,1.5159,0.623,0.725,0.6643,0.4315
0.4574,15.257,1.5694,0.426,0.6315,0.6491,0.5652
0.4804,15.661,1.7774,0.657,0.7427,0.809,0.4604
0.4807,18.283,1.6584,1.056,0.8799,0.6881,0.2176
0.4759,14.897,1.8883,1.085,0.8937,0.7297,0.2107
0.4734,14.503,1.6239,0.662,0.7299,0.6919,0.3923
0.4537,18.217,1.7872,0.507,0.6623,0.6215,0.4201
0.4733,14.467,1.6937,0.489,0.6667,0.704,0.5786
0.4629,16.529,1.8268,0.398,0.618,0.7555,0.7812
0.5001,15.136,1.6559,0.595,0.7014,0.8353,0.7399
0.4606,15.929,1.8928,0.907,0.8268,0.7135,0.2302
0.4526,18.089,1.5854,0.474,0.6341,0.7815,0.6297
0.4654,17.134,1.5584,0.89,0.8079,0.6938,0.2529
0.4862,18.806,1.6558,0.97,0.892,0.6721,0.2134
0.462,16.193,1.8128,0.508,0.6711,0.6549,0.4603
0.4938,18.155,1.5166,0.425,0.6353,0.77,1.0312
0.5051,18.21,1.7914,0.539,0.6876,0.7151,0.7347
0.504,18.562,1.5843,0.666,0.7234,0.7481,0.6039
0.463,16.346,1.6387,0.929,0.8242,0.7677,0.2559
0.4569,17.298,1.6768,1.012,0.881,0.6968,0.1779
0.4723,17.148,1.8181,0.574,0.7075,0.8497,0.538
0.4517,17.543,1.5859,0.971,0.8824,0.6648,0.1612
0.4833,18.863,1.515,0.565,0.707,0.7905,0.5644
0.456,18.151,1.6589,0.532,0.6832,0.8139,0.4969
0.4609,15.689,1.8239,1.057,0.9188,0.652,0.1518
0.4874,15.612,1.6752,0.833,0.817,0.6732,0.2894
0.4656,18.175,1.7841,0.639,0.7402,0.7526,0.3737
0.4624,17.381,1.8434,0.614,0.6944,0.6325,0.388
0.4525,17.335,1.6742,0.592,0.7028,0.8145,0.429
0.4773,18.708,1.5669,0.856,0.8254,0.6933,0.2624
0.4879,15.355,1.5809,0.467,0.6446,0.7791,0.8961
0.4755,16.426,1.7174,0.685,0.7305,0.8063,0.4652
0.5078,15.882,1.6453,0.445,0.6328,0.7202,1.1921
0.4628,18.753,1.7919,0.429,0.6357,0.7652,0.6902
0.5006,14.995,1.7407,0.622,0.7204,0.7177,0.5684
0.4637,16.686,1.5814,0.788,0.7806,0.7122,0.287
0.4535,14.711,1.5486,0.871,0.8473,0.6598,0.1844
0.4732,14.238,1.6542,0.598,0.707,0.8181,0.5243
0.4891,15.368,1.892,0.968,0.8618,0.6183,0.2251
0.4576,16.839,1.7317,0.497,0.6767,0.6439,0.416
0.454,15.776,1.773,1.079,0.9073,0.7195,0.1637
0.4975,15.274,1.6053,0.445,0.6321,0.6425,0.9302
0.4907,16.379,1.7146,0.499,0.6592,0.7979,0.8486
0.5063,18.454,1.5378,0.854,0.7949,0.7152,0.4048
0.5052,17.785,1.7427,0.421,0.627,0.7851,1.326
0.4759,17.437,1.6302,0.481,0.6707,0.7403,0.6103
0.4726,18.778,1.8815,0.66,0.7103,0.6685,0.4181
0.4767,17.406,1.7864,0.782,0.807,0.6604,0.2683
0.509,14.284,1.8914,0.556,0.6723,0.7105,0.8535
0.5037,18.737,1.6693,1.079,0.9345,0.6275,0.1992
0.5046,18.231,1.5731,0.628,0.727,0.8242,0.6548
0.4518,17.076,1.8642,0.503,0.6551,0.7276,0.5039
0.453,17.392,1.8816,0.871,0.8395,0.8116,0.2324
0.4821,16.311,1.7197,1.007,0.9051,0.6665,0.195
0.4834,14.681,1.855,0.941,0.8559,0.681,0.2413
0.4742,15.192,1.8176,0.6,0.7036,0.7432,0.4909
0.4664,15.678,1.8914,0.955,0.8446,0.6863,0.2181
0.4889,18.702,1.6043,0.884,0.813,0.6199,0.2749
0.5052,15.043,1.8722,0.723,0.7804,0.8129,0.4879
0.4745,18.981,1.6318,0.555,0.6692,0.8048,0.6597
0.4797,17.56,1.8304,0.971,0.8587,0.6434,0.2181
0.4843,18.468,1.8027,0.681,0.733,0.7866,0.4903
0.4524,15.581,1.7029,0.442,0.6325,0.8335,0.6772
0.4724,17.614,1.7627,0.402,0.6118,0.7161,0.8842
0.4864,17.883,1.5913,0.917,0.8636,0.8289,0.2928
0.4851,16.249,1.7175,0.561,0.7036,0.676,0.5021
0.5053,14.587,1.5501,0.812,0.8117,0.7204,0.3736
0.502,14.655,1.7785,0.91,0.8585,0.7237,0.2992
0.4812,15.424,1.7021,0.973,0.8638,0.6485,0.2187
0.4725,17.293,1.5652,0.819,0.8007,0.8141,0.3268
0.4846,15.073,1.5269,0.698,0.73,0.8451,0.5369
0.4654,14.042,1.5441,0.389,0.5933,0.6055,0.8049
0.4999,17.314,1.7688,0.582,0.7148,0.6449,0.5247
0.454,16.572,1.7355,0.512,0.6504,0.6781,0.4966
0.4916,14.166,1.6216,0.734,0.7543,0.6532,0.3919
0.4619,15.389,1.6105,0.664,0.7431,0.6253,0.2951
0.5068,18.643,1.7319,0.531,0.6629,0.6208,0.781
0.4702,16.298,1.5894,0.417,0.6409,0.8018,0.7625
0.4976,15.996,1.7462,0.699,0.7491,0.8488,0.5553
0.4595,14.645,1.6721,0.716,0.7487,0.7598,0.3405
0.4639,16.08,1.8911,0.951,0.8767,0.7208,0.1987
0.4786,18.964,1.6632,1.096,0.9299,0.6185,0.1616
0.4727,16.481,1.8299,0.605,0.7114,0.8227,0.512
0.4653,16.358,1.6647,0.861,0.8317,0.7489,0.2475
0.5017,15.064,1.7675,0.409,0.604,0.8126,1.6607
0.4807,15.549,1.5785,1.035,0.9207,0.8118,0.2225
0.506,17.714,1.7952,0.758,0.7597,0.7542,0.5068
0.4593,15.013,1.735,1.059,0.9186,0.8207,0.1885
0.4527,16.278,1.7481,0.561,0.7053,0.8226,0.4285
0.4594,16.372,1.6335,0.914,0.8455,0.6687,0.1985
0.4618,18.616,1.7179,1.058,0.9313,0.6941,0.1563
0.4653,14.7,1.6107,0.621,0.7122,0.6114,0.3501
0.4807,14.988,1.6275,0.745,0.7708,0.6427,0.3194
0.486,17.12,1.6841,0.861,0.8433,0.6581,0.2509
0.4911,18.749,1.7903,0.472,0.6636,0.8056,0.8332
0.485,17.406,1.8009,0.522,0.6557,0.7635,0.7778
0.4679,18.364,1.8368,1.056,0.8914,0.7074,0.192
0.4683,14.61,1.6981,0.423,0.6332,0.71,0.6984
0.5044,17.346,1.6935,1.094,0.9039,0.6889,0.2449
0.4889,17.081,1.6715,0.894,0.8189,0.8212,0.3552
0.4916,17.048,1.866,1.091,0.9047,0.7656,0.2433
0.4523,16.51,1.864,0.626,0.7361,0.7052,0.3124
0.4572,17.866,1.7072,0.549,0.6619,0.6733,0.475
0.4659,17.795,1.541,0.801,0.7828,0.7786,0.3174
0.4851,18.052,1.7759,0.682,0.7195,0.6799,0.4603
0.4682,16.547,1.8987,0.426,0.6346,0.6156,0.5984
0.4588,17.417,1.7375,0.834,0.7942,0.6392,0.2317
0.5056,18.575,1.8957,0.802,0.779,0.8299,0.5037
0.4683,14.079,1.7231,0.468,0.6334,0.7902,0.7763
0.4616,17.836,1.5824,0.493,0.6677,0.6664,0.4762
0.4921,14.105,1.6263,0.767,0.771,0.8278,0.4587
0.4972,18.401,1.8551,0.633,0.7012,0.7584,0.6516
0.4973,18.88,1.6325,0.475,0.6308,0.7573,1.1062
0.5092,14.878,1.6686,0.485,0.664,0.6847,0.8793
0.4658,15.21,1.6594,0.632,0.7178,0.6858,0.383
0.473,18.64,1.6816,0.903,0.8359,0.6306,0.22
0.4619,18.807,1.5987,0.791,0.7673,0.8156,0.3431
0.4514,18.587,1.6566,0.63,0.702,0.7396,0.3867
0.5004,14.922,1.6449,0.638,0.7238,0.7469,0.5788
0.4722,18.111,1.8401,0.389,0.6211,0.7041,0.8016
0.4923,18.365,1.5675,0.906,0.8478,0.6631,0.2625
0.4976,14.124,1.8341,0.49,0.6386,0.8496,1.1616
0.4648,14.34,1.5775,0.749,0.7688,0.7757,0.3332
0.4568,18.786,1.7787,0.971,0.8544,0.7943,0.2228
0.4961,15.194,1.5442,0.663,0.7284,0.7844,0.566
0.4858,16.549,1.7341,0.603,0.6952,0.6305,0.4965
0.485,16.331,1.576,0.898,0.8282,0.7602,0.3051
0.4726,16.971,1.6524,0.958,0.8867,0.6376,0.1833
0.4899,16.742,1.5464,0.511,0.662,0.6494,0.6701
0.4802,14.294,1.7917,0.553,0.7018,0.716,0.5094
0.4617,16.891,1.5588,0.456,0.6452,0.7953,0.6617
0.4894,15.233,1.7673,0.496,0.6539,0.8366,0.9122
0.5073,16.098,1.5991,0.903,0.8402,0.7529,0.3514
0.4681,15.433,1.6468,0.784,0.7847,0.7449,0.3074
0.4742,15.867,1.6021,0.975,0.8855,0.753,0.2204
0.4959,14.63,1.8917,0.54,0.6924,0.6257,0.5611
0.4609,16.777,1.7877,0.942,0.8627,0.7245,0.2047
0.5082,14.854,1.7675,0.999,0.8964,0.6645,0.2506
0.4795,18.574,1.6342,0.494,0.656,0.6615,0.6299
0.4613,14.497,1.7417,1.026,0.9006,0.7583,0.1882
0.4543,16.426,1.5598,0.863,0.82,0.7913,0.2475
0.5032,18.35,1.5085,0.812,0.7845,0.6061,0.3499
0.4584,15.846,1.6429,0.358,0.5991,0.8439,0.9636
0.464,17.37,1.525,0.447,0.6275,0.6888,0.6703
0.4547,18.272,1.7747,0.941,0.8713,0.6407,0.1659
0.4637,18.648,1.8232,0.408,0.6116,0.6403,0.7061
0.4952,18.23,1.7454,0.927,0.8558,0.7915,0.3115
0.4788,18.743,1.5679,0.764,0.7822,0.6643,0.3073
0.4591,14.291,1.8979,0.396,0.6246,0.715,0.6695
0.5074,16.784,1.8716,0.511,0.6655,0.784,0.9727
0.4982,15.607,1.6906,1.047,0.8955,0.8265,0.2873
0.4845,15.101,1.5805,1.063,0.9273,0.6571,0.1821
0.4737,16.687,1.5197,0.719,0.7737,0.7032,0.322
0.4885,15.486,1.592,0.545,0.6955,0.8239,0.6671
0.499,14.466,1.8589,0.766,0.7786,0.6605,0.3771
0.4844,16.982,1.6097,0.965,0.8554,0.6874,0.2461
0.4764,16.997,1.861,0.833,0.8007,0.6136,0.2554
0.479,18.682,1.8302,1.023,0.912,0.6219,0.1731
0.4696,14.166,1.5314,0.738,0.7459,0.6877,0.3454
0.4718,18.005,1.5721,0.968,0.8505,0.7173,0.2337
0.4886,14.592,1.664,0.666,0.739,0.7964,0.5018
0.4978,18.695,1.7545,0.554,0.6916,0.666,0.6127
0.4648,17.169,1.6013,0.397,0.6013,0.8147,0.9966
0.501,14.54,1.6914,0.497,0.644,0.8409,1.1486
0.4807,18.42,1.5828,0.62,0.7114,0.7725,0.5231
0.4792,17.345,1.5505,0.904,0.8562,0.7566,0.2579
0.4541,16.292,1.6939,0.881,0.8297,0.6204,0.1863
0.4895,17.285,1.8594,1.049,0.9188,0.7417,0.2206
0.4512,17.264,1.5953,0.428,0.6397,0.6446,0.4911
0.4797,14.682,1.5787,0.666,0.729,0.6578,0.3996
0.4891,16.356,1.8916,0.816,0.7918,0.8104,0.3954
0.5085,15.548,1.8255,1.09,0.9304,0.734,0.2458
0.4672,18.113,1.6441,0.793,0.7667,0.6093,0.2705
0.4786,17.333,1.5651,0.889,0.8185,0.7602,0.2996
0.4584,14.858,1.6089,0.976,0.8948,0.7314,0.1804
0.4981,15.644,1.7649,0.996,0.8592,0.8381,0.334
0.4514,15.398,1.551,1.023,0.8745,0.6569,0.1633
0.4721,18.67,1.5734,0.452,0.6394,0.6282,0.6181
0.471,17.877,1.7283,0.689,0.7269,0.612,0.3439
0.466,16.829,1.7859,0.732,0.7459,0.7529,0.3651
0.4719,16.712,1.8074,0.645,0.7321,0.8345,0.4604
0.4904,16.859,1.8331,0.948,0.8441,0.7562,0.2987
0.4818,18.013,1.5558,0.591,0.6823,0.8239,0.6734
0.5093,15.091,1.88,0.671,0.7301,0.7699,0.6308
0.4957,18.339,1.6728,0.885,0.8149,0.7422,0.3476
0.4949,16.984,1.6711,0.919,0.8674,0.6135,0.2302
0.4677,18.576,1.6063,0.616,0.7138,0.6631,0.3862
0.4924,16.885,1.5885,0.718,0.7449,0.8212,0.5212
0.4788,14.849,1.7874,0.724,0.7457,0.668,0.3686
0.4959,14.797,1.5642,0.657,0.736,0.6651,0.4588
0.4643,14.136,1.5261,0.688,0.7645,0.793,0.3459
0.4624,14.63,1.8612,0.681,0.7203,0.8063,0.429
0.4917,16.159,1.7536,0.434,0.6334,0.6622,0.8768
0.497,15.912,1.6773,0.682,0.7394,0.7945,0.544
0.4963,16.943,1.8114,1.04,0.8992,0.625,0.2109
0.4764,14.985,1.6651,0.418,0.6323,0.6534,0.717
0.4995,16.856,1.5572,0.564,0.7059,0.8425,0.7209
0.4948,14.362,1.8524,0.584,0.6888,0.8095,0.7343
0.4629,14.533,1.7631,0.844,0.8063,0.7628,0.2734
0.4784,16.489,1.8367,0.813,0.7958,0.8235,0.357
0.4622,15.645,1.6258,1.005,0.8589,0.8221,0.2383
0.5052,16.409,1.5497,0.703,0.728,0.7725,0.614
0.4804,16.952,1.7033,0.981,0.8836,0.7356,0.2288
0.5004,15.581,1.5408,0.353,0.5862,0.7852,1.9544
0.5094,17.263,1.7448,0.655,0.7069,0.6424,0.6082
0.4752,14.808,1.8623,1.021,0.9151,0.7593,0.2024
0.5032,18.307,1.8386,0.834,0.7967,0.804,0.4381
0.4574,16.929,1.7499,1.016,0.8874,0.7123,0.1786
0.4844,14.057,1.8149,0.645,0.7032,0.7458,0.5512
0.4922,14.062,1.6875,0.756,0.7537,0.6605,0.3996
0.4995,14.336,1.538,0.984,0.8597,0.7442,0.2996
0.4749,16.24,1.6952,0.544,0.6942,0.7673,0.5401
0.4868,18.714,1.7599,0.475,0.6683,0.6579,0.626
0.4792,15.18,1.7922,0.574,0.6982,0.672,0.4835
0.4537,14.752,1.8872,0.419,0.6118,0.7488,0.7228
0.4945,16.673,1.5782,0.76,0.7923,0.7385,0.3785
0.5077,16.592,1.6847,1.018,0.8755,0.8057,0.3275
0.4772,14.942,1.6215,1.059,0.9157,0.6754,0.1827
0.4766,18.548,1.5072,0.936,0.861,0.7588,0.2483
0.4845,15.842,1.7852,0.872,0.8445,0.7781,0.291
0.4915,14.728,1.8509,0.946,0.8391,0.6261,0.2549
0.4576,17.614,1.513,0.747,0.7581,0.6053,0.2545
0.4913,14.192,1.8607,0.678,0.7275,0.8102,0.559
0.4581,15.497,1.5401,1.083,0.9421,0.6409,0.1352
0.4818,14.381,1.6099,0.531,0.6738,0.7699,0.6652
0.4562,15.267,1.8762,0.674,0.7245,0.729,0.3561
0.4982,18.717,1.7081,0.535,0.6917,0.8277,0.7644
0.5036,16.958,1.7811,0.683,0.7451,0.7578,0.5377
0.4796,14.301,1.6191,0.598,0.6864,0.8384,0.6515
0.4649,14.998,1.6485,0.377,0.5915,0.7821,1.0488
0.4928,14.536,1.679,1.021,0.89,0.733,0.2481
0.4872,14.758,1.6247,0.75,0.7882,0.7971,0.3885
0.4557,14.791,1.8442,0.591,0.6951,0.7556,0.4297
0.4936,16.822,1.7402,0.441,0.6265,0.7331,1.0581
0.4597,17.597,1.8561,0.359,0.6003,0.7318,0.8427
0.4639,17.904,1.586,0.908,0.841,0.8023,0.2525
0.4787,14.068,1.5326,1.047,0.8914,0.7163,0.2136
0.4618,17.005,1.7784,0.528,0.6643,0.7607,0.5569
0.4853,14.16,1.7449,0.768,0.7851,0.7243,0.3518
0.4911,14.321,1.7328,0.673,0.7228,0.7229,0.5115
0.4503,17.225,1.8406,0.774,0.7729,0.6807,0.2494
0.4508,14.743,1.6658,0.848,0.7973,0.8403,0.2786
0.5089,15.571,1.8894,0.397,0.6297,0.8035,1.3931
0.4977,15.732,1.8892,0.424,0.6181,0.8138,1.3479
0.505,15.1,1.5035,0.88,0.8383,0.6213,0.2864
0.4786,15.616,1.6275,0.383,0.6259,0.779,0.9258
0.4892,14.455,1.8693,0.814,0.789,0.6214,0.3077
0.4531,15.167,1.6813,0.469,0.6584,0.6332,0.4356
0.5013,17.061,1.5612,0.419,0.6369,0.6902,1.0076
0.4889,17.244,1.8818,0.396,0.6258,0.8351,1.1386
0.4703,17.525,1.5907,0.882,0.8058,0.702,0.2702
0.4673,14.846,1.891,0.754,0.7732,0.7014,0.3025
0.4906,16.371,1.5903,0.576,0.6802,0.7891,0.7225
0.4733,15.405,1.7171,0.554,0.697,0.6892,0.4687
0.5049,16.491,1.6831,0.444,0.6323,0.6861,1.0963
0.4894,18.595,1.86,1.011,0.8842,0.7355,0.2469
0.4739,14.129,1.5541,0.46,0.6372,0.617,0.6313
0.4875,15.569,1.7543,0.956,0.8385,0.6837,0.2692
0.4925,14.637,1.5703,0.373,0.6177,0.6347,0.9796
0.4512,16.677,1.5861,0.545,0.6904,0.6343,0.3527
0.4986,16.861,1.5723,0.672,0.7468,0.8283,0.5539
0.4611,14.599,1.794,0.607,0.7039,0.8077,0.4632
0.5078,18.064,1.7315,0.821,0.7862,0.6264,0.3747
0.4625,16.128,1.7262,0.448,0.6257,0.7923,0.7681
0.4978,17.6,1.7565,0.462,0.633,0.7806,1.1255
0.5027,16.452,1.5479,0.745,0.7878,0.7209,0.4077
0.4799,17.924,1.7831,0.408,0.603,0.6836,1.0175
0.4613,16.474,1.5344,0.954,0.8837,0.6671,0.1754
0.4835,16.512,1.6312,0.61,0.7269,0.8307,0.5306
0.4994,16.98,1.543,0.526,0.6777,0.7013,0.7227
0.4903,15.417,1.756,1.093,0.8974,0.7668,0.2473
0.4699,15.024,1.8192,0.876,0.8384,0.8324,0.2796
0.4883,16.727,1.5534,0.411,0.6185,0.6732,0.9742
0.4606,18.368,1.8982,1.091,0.9167,0.733,0.1713
0.4738,18.003,1.5801,0.45,0.6404,0.7724,0.7702
0.4786,16.197,1.6191,1.066,0.8952,0.7829,0.2301
0.5052,15.836,1.7169,0.391,0.624,0.6094,1.0601
0.5024,14.877,1.8658,0.798,0.7959,0.7663,0.4161
0.4858,14.188,1.7277,0.882,0.8037,0.7296,0.3273
0.4869,15.241,1.8952,1.019,0.8661,0.6827,0.2399
0.4794,14.988,1.8221,0.746,0.7608,0.7298,0.3755
0.4656,14.252,1.5211,1.077,0.9102,0.6869,0.1713
0.5086,14.463,1.7994,0.426,0.6091,0.7084,1.5228
0.4769,15.434,1.6074,0.556,0.6802,0.6969,0.5467
0.4962,14.05,1.8748,0.534,0.6565,0.8122,0.9422
