Phi,d50,sigma,Emix,Temp,Tau0
0.4544,7.1568,1.434,1477887.9638,27.619,13.8519
0.476,7.0051,1.5102,1435378.7338,26.0079,18.132
0.4769,9.1482,1.5374,7603461.2042,29.7004,10.6264
0.4752,10.2387,1.4635,7316487.5555,27.9217,11.2361
0.4749,7.209,1.5552,8000543.5207,28.0111,12.5788
0.4644,11.1752,1.4001,7151518.5479,29.8396,10.4792
0.4712,7.3209,1.4565,8070469.1367,29.6593,21.8801
0.4773,8.3883,1.4951,7815223.5605,27.1295,14.1145
0.4736,9.2087,1.4074,7570057.8455,29.3113,19.3006
0.4712,7.3893,1.4201,1340632.7932,27.6805,26.1002
0.4535,7.8542,1.4197,1354023.1831,26.1636,11.0542
0.4828,10.01,1.4497,1496090.719,26.0901,16.0103
0.4719,10.276,1.4599,7086537.0672,27.9018,10.1494
0.4856,10.1537,1.4838,1324008.8475,27.1877,15.5381
0.4757,9.1749,1.5207,7124658.7038,28.9064,10.8033
0.4816,8.2325,1.4889,1509126.214,26.9771,19.6024
0.4774,8.2502,1.4676,7725254.9382,27.2867,17.3563
0.4707,11.1794,1.4368,7557843.3082,29.6941,10.396
0.4732,7.9409,1.5292,8088101.3094,29.0281,12.2564
0.4745,7.891,1.4034,1352092.9344,25.2618,23.441
0.4773,7.3053,1.4333,7457736.8878,27.9685,27.9053
0.4736,7.8697,1.5181,1386698.3966,26.6746,13.0533
0.4672,8.4055,1.4429,8427337.6644,28.8333,14.7594
0.4558,7.3311,1.4016,1387692.0085,26.181,15.5476
0.4788,9.6124,1.4046,7598661.7669,28.2931,19.9266
0.4743,7.175,1.4993,7723169.0656,28.022,17.9447
0.4673,7.7946,1.4675,8279634.3957,27.8075,13.9589
0.4868,7.5019,1.5858,1332472.5932,25.1967,13.9917
0.4772,8.7699,1.4261,6963863.4378,28.8039,21.2884
0.4801,9.0703,1.5267,1412985.3666,25.2694,10.7703
0.4805,8.3365,1.5585,1450327.11,27.9327,12.7958
0.4757,9.5445,1.4148,6996283.7116,29.1215,18.5019
0.4848,9.3493,1.4734,1391998.6829,26.4312,17.8501
0.4735,8.6232,1.5079,7848230.7255,29.8961,12.7668
0.4679,8.2386,1.4636,7597844.1971,29.1804,14.3932
0.4742,7.9823,1.5318,7594906.0618,27.2675,11.1925
0.467,10.0176,1.4418,7575712.7855,28.1105,10.0414
0.4688,8.8727,1.4091,1377444.4294,27.918,17.9815
0.4739,8.6033,1.4094,1371103.7482,26.2793,20.2785
0.477,11.6815,1.4041,1388330.4525,27.4974,13.617
0.489,7.4159,1.582,1362079.6613,26.5953,17.788
0.4764,8.5814,1.4585,6808780.4102,28.303,17.6904
0.4774,8.4439,1.5069,8875635.8707,28.0234,13.6075
0.4803,9.6821,1.4252,1385035.5954,27.0449,19.2195
0.475,8.3054,1.4462,1488407.9699,27.3377,19.8851
0.4817,7.2817,1.5841,1486324.9093,26.1596,13.0809
0.473,8.4055,1.4429,1432773.8039,26.9671,17.9683
0.4794,8.4671,1.4916,8163347.7765,29.4076,17.4941
0.472,8.7795,1.4478,1317984.1942,26.9296,15.464
0.4864,8.0894,1.4137,1417692.546,27.336,36.214
0.4658,9.5891,1.4431,7153019.9012,27.589,10.1547
0.4618,7.1888,1.4527,1468238.4149,26.7734,15.2268
0.4776,8.4581,1.5251,7433912.0035,27.5632,12.1431
0.4757,7.315,1.4825,1396792.1963,26.1508,19.6858
0.4811,10.1822,1.4033,1557883.4687,25.1768,17.2781
0.4876,7.3106,1.4841,1358959.5818,27.5857,32.9038
0.4677,7.9105,1.499,7389357.0464,27.863,11.4494
0.4603,8.1239,1.4103,7587081.9692,29.2063,15.5597
0.4547,7.7081,1.4529,8494322.2487,28.9654,10.4025
0.4683,7.4715,1.5461,6974619.098,29.5427,10.5438
0.4776,7.8871,1.4422,1362552.7045,25.0173,20.8403
0.4707,7.0948,1.5487,7341120.8239,29.8191,12.8636
0.4826,8.2988,1.5424,1523826.664,25.3283,12.8744
0.4747,10.3281,1.4422,6926149.5534,27.087,11.5974
0.4698,7.3373,1.4803,7699832.9425,27.4004,15.6752
0.4779,8.0212,1.5267,1349537.0111,26.4466,13.8416
0.4725,8.8844,1.4013,1406295.8728,27.1705,20.1542
0.4593,8.5591,1.4322,7241164.7565,28.3435,11.2793
0.4777,7.3984,1.5235,1232242.7771,25.4882,15.3878
0.4579,9.2456,1.4106,7934279.3245,27.7824,10.0264
0.474,7.6259,1.5746,7121326.8182,29.0386,10.1354
0.476,11.6237,1.4162,7776720.1122,28.7997,12.0887
0.4739,10.6452,1.4003,8035687.4154,27.2423,13.1712
0.4811,8.8084,1.4509,1405038.4275,27.4327,21.4016
0.4729,9.2133,1.4142,7856030.8551,27.7471,16.415
0.4735,7.3656,1.4943,1495591.1042,25.5833,15.8968
0.4831,7.5685,1.5423,1363885.7801,27.869,18.9672
0.4712,10.2966,1.4644,8108953.59,29.3489,10.3571
0.4742,9.2442,1.4779,8066735.3665,29.64,13.4389
0.4656,8.194,1.4269,1407162.3434,27.5581,16.6683
0.4786,11.2556,1.4647,7026009.0559,28.1735,10.5913
0.4605,7.536,1.4918,8022109.4452,28.7454,10.4137
0.4758,8.3276,1.4941,7987243.9646,27.7311,14.2022
0.4777,9.6713,1.4451,1373896.1123,26.8399,15.6453
0.4753,10.5665,1.4391,7784393.9912,27.3514,11.5501
0.4666,7.0493,1.4571,7180013.8354,27.7734,17.978
0.4854,11.8684,1.4228,1478639.6927,27.1079,15.3319
0.4863,7.5,1.4825,1425710.0563,26.5484,27.9936
0.4703,9.288,1.4327,6853421.5715,27.5858,13.492
0.4636,8.3722,1.4141,8036948.5898,29.3493,16.1086
0.4772,12.6127,1.4153,7902129.781,28.37,10.4284
0.4596,8.8718,1.4114,7316953.2954,29.0585,12.5992
0.4608,9.3825,1.4146,8302219.2975,28.3503,10.868
0.48,8.3704,1.5581,1506201.6837,25.164,10.2263
0.4765,8.589,1.506,7802848.6561,29.4083,14.1762
0.4755,10.2912,1.4655,7094277.4527,28.852,11.7977
0.477,9.6233,1.402,7784482.0556,28.4732,19.1969
0.4782,8.957,1.4456,8110376.395,27.0506,16.6727
0.4802,7.3209,1.4565,1413139.4559,27.6592,29.5386
0.4593,8.0363,1.4645,7664216.9035,28.8869,10.6734
0.4688,8.5424,1.5015,7128063.0669,29.95,11.4716
0.4727,7.5362,1.4326,8419775.7241,27.6463,21.7326
0.473,10.9988,1.4202,8015254.2059,28.5523,11.7869
0.4635,8.3644,1.4162,1318211.0291,27.4048,15.6775
0.4662,7.2607,1.4559,1270888.4521,26.209,16.6561
0.4607,7.2854,1.4891,7836064.153,28.5932,11.3413
0.4725,9.7054,1.4678,7500867.1853,28.288,11.3214
0.4744,7.82,1.4544,6878057.6443,28.9212,21.1122
0.4764,7.4844,1.5259,7887914.5451,29.3828,16.3827
0.4611,9.3603,1.4316,7290392.3248,28.9317,10.476
0.4788,8.0289,1.5291,6953940.1852,27.8387,14.0805
0.4642,7.5613,1.5155,7632664.847,29.9015,10.9341
0.4799,9.4236,1.4442,7529971.7015,29.0044,18.3822
0.4663,8.5926,1.4601,8261652.27,28.6036,12.2026
0.4662,9.8773,1.4394,7182959.8652,29.076,10.9097
0.4492,7.8542,1.4197,7749690.6161,29.5087,10.5823
0.4745,10.6836,1.4195,1377146.2315,27.5066,13.8498
0.4759,11.394,1.4402,7148064.6652,28.3785,10.8826
0.487,10.0665,1.4112,1426315.6298,27.5157,24.4395
0.4599,8.7361,1.4402,7268693.2065,27.9777,10.296
0.455,8.3135,1.4062,8446033.5182,29.4367,12.6354
0.4635,8.711,1.4022,1361253.101,26.5266,14.7288
0.4754,9.2987,1.4734,7760590.4886,28.943,13.7079
0.4873,7.614,1.561,1358624.5012,25.5935,16.7207
0.4623,9.1066,1.4418,7834214.5295,29.6151,11.2401
0.4873,8.7932,1.4155,1413714.4851,27.405,31.3892
0.4636,7.216,1.4616,7565488.1628,28.915,15.9746
0.4683,7.6972,1.5058,1369820.9303,26.5157,11.8781
0.4831,7.7186,1.603,1393145.7444,25.9343,10.6686
0.4789,8.0709,1.4148,7583685.9658,29.2312,28.5046
0.4707,7.8576,1.5026,1455526.9297,26.1008,12.4077
0.4795,7.7597,1.4515,1294281.9844,25.1723,22.1002
0.4665,7.4751,1.5147,8068562.2775,27.5681,10.6406
0.4672,9.4723,1.4643,7290466.7276,28.8781,10.4272
0.4889,12.3922,1.4446,1398533.1305,27.8624,14.9111
0.4605,8.4867,1.4156,7579025.7389,29.5497,14.1937
0.4775,11.4277,1.4059,7890865.4382,29.9842,14.7785
0.4797,9.7641,1.4276,1417426.3118,25.7737,16.6602
0.477,12.3835,1.4099,8252466.9033,28.1679,10.8414
0.4764,9.0607,1.4419,1494320.9086,26.9911,17.5244
0.4578,8.1956,1.4308,7491562.2334,29.7164,12.7136
0.4541,7.886,1.4095,7674992.2635,28.4474,12.6662
0.471,8.5289,1.4647,8262398.3516,28.8311,14.4709
0.4636,8.4636,1.4552,8012600.8619,27.3015,10.8159
0.479,10.8961,1.4747,7869529.0635,29.2703,11.4259
0.4715,8.6659,1.4275,7922467.0226,29.491,18.4198
0.4771,11.1162,1.409,1621128.0378,25.0349,12.2027
0.4751,8.0936,1.4631,7790869.5496,28.7251,18.727
0.4759,11.6562,1.4007,1361942.2046,27.8928,13.7661
0.4834,11.7728,1.4041,1387008.0691,26.8328,15.7026
0.4758,7.6861,1.4503,1457533.2843,26.515,22.0031
0.476,8.8197,1.4186,1528176.4579,27.2503,21.0365
0.4791,7.07,1.5867,8021005.2338,29.4046,13.5725
0.4871,8.748,1.4912,1317229.6676,26.4236,20.0697
0.4864,7.8773,1.4459,1375166.3046,27.9777,33.9491
0.4694,9.0818,1.4788,7586693.4819,29.4905,11.5945
0.4636,9.1391,1.4241,1311740.8048,27.4708,12.6336
0.4672,7.662,1.4253,6940842.2446,29.5937,21.0754
0.4788,9.6769,1.4941,1292396.0407,26.6012,12.1657
0.4669,8.1378,1.4258,7557400.0775,27.9742,16.4862
0.4753,11.7395,1.4557,7267337.5592,29.9794,10.1356
0.4773,7.8478,1.557,8322845.1202,28.38,11.7908
0.4678,7.7813,1.4016,8056955.2534,27.1444,19.9453
0.478,7.8625,1.461,1470128.7499,27.0454,22.2254
0.477,7.76,1.5101,1471193.3468,26.4091,15.8158
0.472,7.3067,1.5281,1422487.3962,26.2888,12.9006
0.4746,7.613,1.474,8115358.6852,28.9688,19.7468
0.4875,12.018,1.4034,1466005.8376,25.0423,15.0545
0.4826,10.6452,1.4003,1379713.2321,25.9311,17.9212
0.462,10.0524,1.425,8073668.5136,29.6437,10.0856
0.4705,9.7714,1.463,7825453.4511,29.0115,11.1408
0.4721,8.4149,1.402,1305710.5894,26.0594,20.4417
0.4585,8.107,1.4439,8121160.8359,28.3194,11.189
0.4791,12.1702,1.4244,7844940.4752,29.4518,12.1458
0.4688,7.9927,1.4433,8085143.7903,28.423,16.8582
0.4787,8.7619,1.5301,1439869.2468,25.2548,10.7033
0.4762,7.5709,1.5809,7318508.6382,28.6929,10.5444
0.4783,9.6022,1.4394,1460844.4026,27.1046,16.9763
0.4544,8.3086,1.4001,7422497.9405,28.6927,12.4864
0.4742,8.7877,1.405,7956793.1635,29.2658,21.7056
0.4543,7.188,1.4256,1444507.9409,26.4951,13.3972
0.4614,7.3332,1.4099,1379104.7048,27.5618,19.8507
0.4591,7.2129,1.4002,1471868.3217,26.1115,18.0795
0.4468,7.0451,1.4411,7364105.334,29.7378,10.4402
0.4778,7.3106,1.4841,7284658.3075,27.45,20.7626
0.4825,9.6117,1.4808,1396404.9734,27.2163,15.8065
0.474,10.1095,1.4429,1406835.5131,25.0795,11.1964
0.4773,7.1971,1.5433,7586692.0739,27.9971,15.1566
0.4643,7.1888,1.4776,7603456.0705,28.1391,14.2087
0.4856,11.3473,1.4024,1458885.8903,25.2361,16.2519
0.4709,7.0372,1.4882,7834425.2531,29.5439,19.2503
0.4521,7.111,1.4287,7477670.1876,27.1584,11.7937
0.4839,7.613,1.474,1441155.2288,27.1443,27.3056
0.4733,7.0436,1.4037,1343793.723,25.1076,27.9442
0.4755,10.2546,1.4808,7061890.655,29.0245,11.0258
0.4864,7.0358,1.5719,1448188.2136,27.3402,20.0307
0.4568,7.8134,1.4027,1393183.0904,26.4232,14.2868
0.4499,7.1056,1.4346,7106879.4218,28.1377,11.1246
0.4698,8.109,1.4479,7788360.3028,28.2768,16.456
0.4639,7.3634,1.4147,7795228.1951,27.5175,18.742
0.4822,8.1157,1.4355,1416370.91,26.9564,27.4497
0.4747,9.4635,1.4677,7581405.4292,29.6925,13.9653
0.4664,7.5064,1.4303,1490383.6991,27.0694,19.3335
0.4791,12.5589,1.4099,7273813.6025,27.9557,11.2901
0.4826,11.6377,1.4647,1379023.5508,27.7414,12.226
0.4803,10.4848,1.4428,1451106.6546,25.0888,12.9124
0.4477,7.525,1.4202,7678488.253,29.0899,10.5857
0.4686,8.2367,1.4414,1443340.346,25.1413,14.1321
0.465,7.6609,1.4105,8099553.5496,29.3812,20.5646
0.4822,9.2249,1.4731,1457497.5929,26.6545,16.9958
0.478,7.5691,1.459,7913105.5115,29.455,25.2429
0.4789,7.0603,1.5113,1380971.804,25.061,18.3947
0.4803,7.2687,1.4579,1541380.2899,27.692,29.8437
0.4674,7.5228,1.5213,7632388.9006,27.8599,10.7069
0.4756,8.6872,1.428,7949573.6546,29.8973,21.4124
0.4736,7.2375,1.5241,1468277.5124,25.4186,13.5134
0.4795,8.4439,1.4583,1434476.1428,26.146,19.3378
0.4603,7.1655,1.4556,1434426.7608,27.0897,14.5064
0.4813,8.7302,1.5258,1354914.9266,26.0884,13.0333
0.4631,7.7763,1.4076,6664917.3345,27.5555,17.3451
0.4597,7.2829,1.4114,1445013.335,26.1321,16.9879
0.4795,8.278,1.5469,7575457.5629,29.7032,13.541
0.4615,8.3518,1.4073,1305402.8576,26.1255,14.0928
0.4684,7.9162,1.4872,1289903.8108,25.2231,11.5819
0.4739,8.5424,1.5015,1444749.276,26.5878,12.38
0.4795,7.1063,1.4129,1452774.3868,27.8122,38.8106
0.4708,8.4199,1.4515,1424291.7632,25.7808,14.4828
0.4805,7.233,1.4301,1354927.2635,27.5791,34.9901
0.4663,7.8131,1.4613,1372867.6277,27.7147,15.4487
0.4796,8.4866,1.4496,1248089.8781,27.4143,22.071
0.4594,7.7255,1.4732,7516532.7823,28.8543,10.946
0.4805,8.0296,1.5277,1486749.0709,27.7036,16.5333
0.4738,10.6744,1.4476,7743252.1013,27.7298,10.5286
0.4785,8.6373,1.4896,7632710.4644,29.9986,17.2345
0.4675,9.3563,1.4428,7073329.9347,28.097,11.7281
0.4628,7.1239,1.4297,7614265.4724,28.6977,19.0948
0.4748,9.7335,1.4403,1196406.2127,25.8415,13.4326
0.481,9.4635,1.4677,1286073.7992,26.6429,16.0352
0.463,7.6972,1.5058,6994273.4726,29.1759,10.4069
0.4653,8.0672,1.4486,7589162.1815,29.0198,14.8387
0.4799,10.6037,1.4615,1416397.2568,25.3762,11.5246
0.4766,8.7006,1.5161,8739297.7704,28.4187,12.0818
0.478,12.4959,1.401,7224921.5055,27.3059,11.0346
0.4733,7.7813,1.4016,1468275.0262,25.9576,24.6174
0.4876,10.1139,1.4126,1528962.8913,26.7033,23.0759
0.4743,11.0612,1.466,7433731.4801,29.7119,10.2257
0.4738,10.1071,1.4275,7531072.3296,29.2121,14.4275
0.463,8.3969,1.4497,7406426.8752,29.8869,13.2118
0.4773,9.2543,1.5284,7186917.7925,28.118,10.2147
0.4825,10.1071,1.4275,1321416.8279,25.4447,16.7063
0.4839,7.7751,1.4313,1431366.7365,25.3526,28.683
0.4701,7.6056,1.4999,8033714.9282,28.7584,14.1313
0.4776,7.82,1.4544,1267296.1391,27.9493,24.4997
0.4849,7.036,1.5565,1484687.2169,27.504,21.0311
0.4788,12.3922,1.4446,7465158.6678,28.7264,10.0661
0.4632,8.2086,1.4517,7987580.3637,27.2995,11.5715
0.4734,8.4573,1.4693,1384587.1613,25.0177,13.3968
0.4841,7.2452,1.4325,1326287.9623,27.2438,37.9408
0.4726,7.8556,1.5295,7190873.1848,28.8327,12.2733
0.4655,8.1543,1.4412,1389518.4711,25.0639,12.8772
0.4779,7.4629,1.4367,1332382.9725,26.423,26.9061
0.4785,10.8219,1.4346,1293335.0058,25.4473,12.3099
0.4759,7.0124,1.5244,1386802.5951,25.9004,16.3524
0.4794,9.6898,1.4481,1398683.3807,25.0274,14.18
0.4783,11.0617,1.4293,1511767.6656,25.9504,12.4392
0.4811,7.3772,1.4114,1432235.7225,25.3597,32.1917
0.4806,8.2571,1.4735,1430896.9791,25.4316,18.2957
0.4824,12.9419,1.4073,1449526.8577,26.2956,11.912
0.4791,10.8127,1.4799,1418526.099,26.0083,10.2175
0.482,9.6299,1.4109,1438833.1685,27.6476,22.9238
0.4739,11.1601,1.4114,7228036.1886,29.0986,12.9285
0.4672,9.0798,1.4685,7866890.5915,28.6893,10.8287
0.4611,7.7349,1.4771,7732676.8823,27.1327,10.1477
0.4596,8.3086,1.4001,1350484.9558,26.7046,14.4803
0.477,8.9618,1.5089,1308447.8039,27.5812,12.945
0.4895,8.7339,1.4048,1453445.987,27.8699,36.9777
0.473,7.5466,1.5674,8104096.3699,29.5549,10.6471
0.4656,8.7169,1.4479,7914685.6362,29.013,12.8202
0.4756,7.5362,1.4326,1493995.9998,26.2008,24.4927
0.4796,9.0568,1.4297,8169857.8466,27.1143,18.6032
0.4658,7.7763,1.4076,1338724.9327,27.3937,20.5874
0.4766,11.7256,1.4211,1403680.9125,26.5594,11.4349
0.4615,8.897,1.4152,7198330.584,28.793,12.8972
0.4782,7.4551,1.5046,1375708.4028,27.314,19.7776
0.4797,9.7038,1.4398,1373302.4584,25.2461,15.2363
0.4564,7.5064,1.4303,7890895.6799,28.055,12.9803
0.4822,8.7981,1.4293,1404422.0107,26.6128,23.4884
0.4492,7.1309,1.4105,7991043.353,28.7979,13.0842
0.4757,9.2133,1.4142,1468991.1497,25.5079,17.2483
0.4773,10.2678,1.4336,1334905.8538,26.7596,14.4823
0.4841,8.0225,1.4133,1318419.9231,27.1329,33.8226
0.4674,8.0239,1.469,1436469.3645,25.3579,12.2686
0.4798,9.5338,1.521,7885407.2957,27.7202,10.6915
0.461,9.5131,1.4038,8296639.0113,27.5602,10.7631
0.4731,7.233,1.4301,7243772.6903,28.1069,25.4593
0.4793,10.1845,1.4231,8947211.3297,28.3383,16.1118
0.4787,7.3453,1.5047,7660044.5517,29.5704,21.4063
0.4771,8.397,1.4346,7848237.7781,29.1929,22.3297
0.4699,7.2158,1.505,1414276.0771,27.4363,15.3833
0.4679,9.6384,1.4346,7513762.929,28.1484,11.7301
0.4705,8.1195,1.4516,7181461.4507,29.1518,17.5585
0.4719,9.4723,1.4643,1244048.0865,27.2232,12.2798
0.4721,8.4582,1.4781,1330085.4434,27.2918,14.3297
0.4626,8.822,1.4601,8098391.4701,29.7205,10.8035
0.4661,8.8727,1.4091,7374270.6914,29.1557,16.0327
0.4858,9.5445,1.4148,1350731.3995,27.8854,26.3057
0.456,9.108,1.4002,1374083.2528,26.9907,10.8126
0.4722,10.8051,1.4205,1370582.3078,25.425,10.7072
0.4721,9.4333,1.4217,1290820.4976,25.1858,13.6975
0.4751,9.4904,1.503,7892176.4876,28.807,10.8331
0.463,9.0687,1.422,1379202.5175,25.528,11.0702
0.4765,10.3668,1.4395,7855334.2488,27.3718,12.4795
0.4511,7.525,1.4202,1359498.8702,25.4321,10.3684
0.47,12.1791,1.4093,7037375.9555,29.8823,10.1599
0.4719,8.1363,1.4762,8761881.3852,28.2421,14.671
0.461,7.9293,1.4178,1327111.504,26.9033,15.2722
0.4771,10.2636,1.4507,7710565.2382,28.2629,12.9892
0.4755,10.7487,1.4257,1398802.591,27.5637,13.7298
0.4728,8.3722,1.4141,1516089.7538,27.8336,22.3246
0.474,9.0629,1.4564,1285694.2539,27.72,15.662
0.4509,7.1262,1.4452,7285872.1146,28.5178,10.9254
0.4747,10.1864,1.4038,8262934.8089,29.9235,17.0587
0.4841,7.209,1.5552,1384031.587,27.4552,19.5215
0.4829,8.717,1.454,1429711.2347,27.9968,23.6851
0.4635,8.5701,1.438,1416797.161,26.0434,11.884
0.4717,9.2395,1.4582,1558842.6569,25.0899,11.2972
0.4654,8.5401,1.4478,7453016.4746,27.2821,11.9571
0.4683,7.3955,1.4823,1263753.2136,25.1688,13.6062
0.4868,7.7113,1.48,1446025.7778,25.6706,25.5922
0.4701,10.845,1.4006,8057514.4486,27.4047,11.3409
0.476,7.9303,1.5168,7990991.2792,27.8861,13.87
0.4641,7.934,1.4078,1301847.9717,25.6137,16.4316
0.4833,7.5305,1.4384,1484090.36,27.7699,34.2603
0.4842,8.0841,1.4064,1366472.9151,27.5735,35.5626
0.4696,9.5194,1.458,7932700.372,29.2366,11.8181
0.4795,10.4168,1.438,1293578.3864,25.2823,13.3137
0.472,9.153,1.4308,1397883.5414,26.4664,15.144
0.4524,7.0498,1.4566,7587447.1797,28.6602,10.9461
0.4762,9.0843,1.4154,1361394.6104,25.051,17.2988
0.476,9.4218,1.4067,1580676.0739,25.7138,17.5201
0.4707,8.1437,1.4689,1399253.716,25.2219,13.3532
0.4722,7.9199,1.5155,8180086.3688,27.4999,11.7591
0.4665,7.2787,1.4543,7963218.6465,27.7096,16.8486
0.4694,8.3914,1.5038,7812756.6271,27.9484,10.5048
0.479,7.0517,1.4724,1349239.4825,25.5611,24.189
0.4615,7.0335,1.4669,7259030.3549,27.7952,14.0295
0.4881,7.4301,1.5467,1528683.2343,25.6878,19.8867
0.4856,7.4355,1.432,1326761.532,25.6767,33.945
0.4804,8.6777,1.4287,1587359.6011,27.9696,24.9412
0.4841,12.9595,1.4117,1537064.1753,25.618,11.6578
0.4598,7.0724,1.4614,7521522.0606,28.3101,13.8497
0.4694,7.5979,1.4383,7588320.5712,29.478,21.0649
0.4797,7.4066,1.4198,7863993.2953,29.6865,34.63
0.4692,7.267,1.5439,7821222.6209,29.0272,11.2676
0.4784,7.426,1.427,7478199.9416,27.2458,27.5633
0.4609,8.5117,1.4574,7920831.7772,29.6832,11.0911
0.4758,7.4735,1.5694,8066628.3375,27.0883,10.3002
0.4813,9.7732,1.4796,1484502.7311,25.7594,13.2607
0.4753,8.5201,1.4178,1321657.4815,25.4769,19.4684
0.4595,8.711,1.4022,8618496.7078,27.9029,12.5447
0.4633,7.0421,1.429,7673071.9282,28.2909,19.4435
0.4841,8.2879,1.4987,1497916.4255,26.0053,18.6689
0.4824,8.8737,1.4746,1319376.7906,25.7089,17.1928
0.4796,11.9451,1.4111,7785577.5608,29.7261,13.9334
0.4846,10.8708,1.4437,1421224.4035,26.4415,15.3075
0.4593,7.782,1.4574,7935461.567,27.6817,11.0124
0.4749,10.845,1.4006,1450148.8313,26.2375,13.7291
0.4666,7.7195,1.4406,1406695.3977,25.0591,14.9753
0.4668,7.0051,1.5102,8062670.821,28.7814,13.6952
0.4771,8.3529,1.4215,7340131.675,28.7052,23.6522
0.4767,9.2087,1.4074,1243465.0877,26.5715,20.0642
0.4531,7.1056,1.4346,1415606.8742,27.6065,13.2686
0.4655,7.6658,1.4645,7892226.2605,29.2056,15.116
0.4736,9.7276,1.4039,8081263.1971,27.6667,15.7838
0.4815,10.6109,1.4831,1484370.6953,27.8082,12.8459
0.462,7.2551,1.4201,1386537.1275,26.6882,18.3517
0.4861,8.0547,1.5059,1318937.6877,26.3447,20.971
0.4622,9.153,1.4308,7549938.3519,27.6466,10.5317
0.4658,7.8576,1.5026,7428701.1914,29.0957,11.3494
0.478,9.451,1.4872,7714223.6007,27.3948,12.1684
0.4766,10.0048,1.425,1393502.0022,25.7564,14.5165
0.469,8.5805,1.4093,1453318.3911,26.1533,17.0989
0.4853,9.6175,1.4141,1447360.0833,26.6982,23.5946
0.4797,9.2452,1.417,7002584.1313,29.0424,22.0653
0.4762,12.0277,1.4042,8494091.1689,29.1129,12.1637
0.4628,9.4333,1.4217,7474057.2187,27.2913,10.4321
0.4662,7.7857,1.4507,1519249.6322,26.0174,14.6614
0.4758,7.1477,1.4286,1419417.1589,25.5819,26.7746
0.4763,8.2113,1.457,1419184.4608,27.3995,20.1223
0.4786,11.0146,1.4068,7861242.6918,29.404,15.8962
0.4644,7.3186,1.4499,1395508.0993,26.5059,16.2117
0.4855,10.823,1.4706,1356999.2137,27.5153,14.9134
0.4497,7.4246,1.4306,7968427.3481,28.1089,10.2473
0.4775,8.092,1.5362,7646247.7641,29.9824,14.2524
0.4765,8.7771,1.5058,7328560.2412,28.925,13.3044
0.4719,10.0624,1.454,7620434.9381,27.4304,10.5376
0.4797,9.2513,1.4505,1308929.6979,25.9064,16.6825
0.4871,7.07,1.5867,1425203.5301,25.4566,16.1909
0.4824,10.4414,1.4766,1375017.1708,26.0824,12.6257
0.4777,8.9018,1.435,1269488.4706,26.6788,19.3202
0.4684,7.4827,1.441,7464516.6579,27.504,18.2862
0.4762,8.7619,1.5301,7599005.09,28.4058,10.9327
0.4759,7.2452,1.4325,7030696.6881,29.711,30.4634
0.4795,8.4802,1.5192,1348994.8229,27.3294,14.6855
0.4694,9.2027,1.4549,7935661.5302,29.1373,12.7122
0.4724,7.267,1.5439,1353060.6592,26.4672,12.0829
0.4765,11.2069,1.4611,7616659.1249,28.5497,10.2806
0.4625,8.194,1.4269,8528201.8789,28.8023,14.3981
0.4737,7.7034,1.4595,7638168.4281,29.6062,21.2378
0.4689,11.1162,1.409,7662768.9108,27.8902,10.3141
0.4878,7.6644,1.5847,1423184.0215,26.8658,15.9177
0.4588,7.7668,1.4677,8088844.7892,29.2811,11.147
0.4877,10.2308,1.4659,1440793.0929,26.5473,17.2441
0.4679,7.3656,1.4943,7819400.5599,29.6899,15.2598
0.4743,8.6124,1.471,8129965.0747,29.9932,16.4864
0.4657,7.5367,1.4214,8309798.8933,29.4984,20.5442
0.4846,10.3668,1.4395,1281776.4337,26.1426,16.8605
0.4732,8.0965,1.4964,1230362.0147,25.9364,13.2555
0.4833,8.3358,1.5301,1312439.1395,27.9988,17.1332
0.4625,7.0952,1.496,1349652.5144,27.2074,12.397
0.4636,7.6292,1.4655,1444081.5383,27.055,13.581
0.4684,7.0114,1.4729,7687261.6052,28.1511,17.905
0.4772,8.748,1.4912,7999104.2562,29.3251,15.2008
0.4827,9.4135,1.4405,1428783.6042,27.7846,21.3545
0.483,7.0708,1.6103,1442990.3765,26.6549,12.6003
0.456,7.93,1.4262,1318255.3153,25.2189,10.6497
0.4864,7.8564,1.4936,1403328.4759,26.7084,24.3863
0.4773,8.5658,1.5452,7438901.9928,27.6654,10.3529
0.4853,8.77,1.4324,1445537.9534,26.1844,24.9945
0.471,8.765,1.4035,7720382.5718,29.7067,20.4023
0.4867,10.1845,1.4231,1294898.1862,27.735,22.6831
0.4796,11.6972,1.4458,1407850.7413,26.5635,11.1539
0.4773,8.1489,1.4926,8199057.2959,27.2717,15.227
0.4736,9.2378,1.4326,8254536.6301,29.327,16.6404
0.4531,7.714,1.4428,7303239.4377,28.3885,10.2524
0.4749,7.6609,1.4105,1434867.7413,26.2619,26.1855
0.4597,7.4862,1.4358,1276291.7509,26.7735,14.4893
0.4694,8.1051,1.4493,7962136.6978,29.2149,17.0173
0.4883,8.8451,1.4633,1463287.0576,25.0165,21.2005
0.4773,9.2378,1.4326,1496065.2796,25.5105,16.3741
0.477,7.9003,1.4117,1416770.5619,25.8336,25.4132
0.4687,8.0433,1.4292,1313968.7555,26.056,17.1608
0.4719,9.7885,1.4005,7367633.2309,27.5693,15.0602
0.4767,7.6754,1.5549,1336383.77,26.1493,11.6954
0.4745,9.5865,1.4658,1529378.8072,27.0933,12.8965
