Phi,SP_percent,phi_max,Tau0_Pa
0.4906,0.7743,0.8008,0.3424
0.4686,0.5675,0.7051,0.4443
0.5082,0.9816,0.8896,0.2785
0.4713,1.0563,0.9139,0.1863
0.4786,0.6319,0.7135,0.4708
0.5077,0.8594,0.8246,0.3606
0.4859,1.0414,0.876,0.2416
0.4675,0.8712,0.8411,0.2341
0.4716,0.8535,0.8043,0.2823
0.4614,0.3774,0.605,0.8142
0.4981,0.6059,0.7042,0.6132
0.4696,0.7383,0.7459,0.3617
0.5048,0.7791,0.7678,0.4586
0.4639,1.0013,0.9031,0.1812
0.4966,0.399,0.6151,1.2096
0.4837,0.9282,0.8481,0.2636
0.5056,0.5215,0.6749,0.8144
0.488,0.4447,0.6424,0.8442
0.4923,0.9628,0.8661,0.2654
0.4627,0.5956,0.6861,0.4654
0.4592,0.7653,0.7787,0.2804
0.4798,0.7976,0.7831,0.3348
0.4708,1.0817,0.9237,0.1795
0.5045,0.919,0.8493,0.3157
0.5049,0.7498,0.7541,0.4932
0.4758,0.4394,0.6338,0.7748
0.49,0.9328,0.8689,0.2574
0.5083,1.0582,0.9042,0.2641
0.4648,0.8948,0.8583,0.214
0.5092,0.6307,0.7119,0.6586
0.4896,0.866,0.8024,0.3366
0.4972,0.4171,0.6204,1.1573
0.5012,0.5708,0.6864,0.7129
0.4671,0.3777,0.6102,0.8405
0.4898,0.706,0.7661,0.3997
0.4725,0.5643,0.7035,0.4673
0.4665,0.6459,0.7208,0.3987
0.4547,0.6821,0.7295,0.3378
0.4585,0.7782,0.7676,0.2924
0.4851,0.756,0.7535,0.4066
0.4995,0.5643,0.7059,0.6161
0.469,0.3918,0.6164,0.8169
0.4811,0.7094,0.7307,0.4397
0.4524,0.3664,0.6111,0.687
0.4648,0.6879,0.7262,0.3811
0.5052,0.7883,0.7887,0.4154
0.4808,0.5682,0.6887,0.5586
0.4894,0.5303,0.6609,0.7447
0.4598,0.5254,0.652,0.5585
0.5063,1.0382,0.9177,0.2475
0.5093,0.4523,0.6465,1.0718
0.4539,0.5865,0.6997,0.3916
0.4551,0.7617,0.7695,0.2805
0.4623,0.8201,0.7941,0.2699
0.4878,0.5363,0.6843,0.6216
0.5091,0.8498,0.8034,0.4016
0.4789,0.9573,0.8845,0.2204
0.4678,0.6123,0.7211,0.4035
0.4745,0.4709,0.6533,0.6583
0.4598,0.4732,0.6604,0.5283
0.4908,0.3925,0.5956,1.3634
0.4802,0.4954,0.6721,0.6179
0.4736,0.5277,0.6559,0.6394
0.4511,1.0357,0.8752,0.1781
0.5023,0.8856,0.8447,0.3154
0.4953,0.5821,0.6939,0.6346
0.499,1.0478,0.8792,0.2678
0.4755,0.3669,0.5931,1.1104
0.4738,0.4495,0.6404,0.718
0.4612,0.952,0.8567,0.2084
0.4989,0.5183,0.657,0.8613
0.5078,0.7621,0.797,0.4089
0.485,1.0642,0.8833,0.2335
0.4903,0.8136,0.7912,0.3565
0.4579,0.8045,0.8106,0.2417
0.4827,1.0885,0.9431,0.1865
0.4848,0.4544,0.6378,0.8411
0.4617,0.717,0.7665,0.3034
0.4633,0.3792,0.59,0.9576
0.4732,0.8448,0.8089,0.2811
0.5001,0.783,0.7914,0.3904
0.4818,0.5314,0.6738,0.6221
0.4939,0.7362,0.7484,0.4556
0.456,0.5324,0.6832,0.4396
0.4755,0.3782,0.5929,1.1128
0.4655,0.8426,0.8022,0.2688
0.4808,0.5814,0.6988,0.5254
0.5081,0.6798,0.7293,0.5853
0.4798,0.4108,0.6103,0.9976
0.5034,0.6094,0.6935,0.6969
0.4724,0.4015,0.6118,0.889
0.4918,0.6567,0.7147,0.5375
0.4989,0.5614,0.6713,0.7724
0.4508,0.7751,0.8013,0.2349
0.4876,1.0448,0.8737,0.2474
0.4943,0.5291,0.6571,0.8126
0.4958,0.4315,0.6481,0.8895
0.4541,0.8809,0.8297,0.2162
0.4731,0.6053,0.7081,0.4584
0.4957,0.7938,0.7747,0.4059
0.4948,0.3775,0.5971,1.429
0.4751,0.6184,0.7161,0.4475
0.4975,0.9422,0.8336,0.3164
0.4605,0.836,0.7955,0.2638
0.5037,0.573,0.6809,0.763
0.4842,1.001,0.8848,0.2305
0.4623,0.664,0.7199,0.3835
0.4706,0.9985,0.8611,0.2231
0.4683,0.652,0.7344,0.3785
0.4619,0.6109,0.7139,0.3946
0.4816,0.8895,0.8509,0.2561
0.4643,0.5183,0.6682,0.5288
0.4721,0.3936,0.5989,0.9974
0.4862,0.6184,0.7184,0.4961
0.4865,0.4779,0.6333,0.8912
0.5002,0.5299,0.6608,0.8494
0.4941,0.5066,0.6454,0.8893
0.4551,1.0977,0.9201,0.1586
0.4862,0.97,0.892,0.2286
0.4996,0.8548,0.832,0.3245
0.4745,0.369,0.5899,1.1298
0.5036,0.6825,0.7451,0.5109
0.4679,0.7738,0.7893,0.2906
0.4518,0.7107,0.76,0.2833
0.477,0.7894,0.7932,0.3114
0.4606,0.913,0.8572,0.207
0.4588,1.0798,0.9294,0.1591
0.4786,0.8478,0.8343,0.2659
0.4652,0.3575,0.6053,0.8547
0.5099,0.8576,0.8335,0.3539
0.5001,0.5991,0.7118,0.5979
0.454,1.0794,0.9073,0.1638
0.4965,0.5536,0.6834,0.69
0.4769,0.4507,0.6558,0.6651
0.4799,0.4291,0.6347,0.8095
0.5034,0.7952,0.7984,0.3901
0.4986,1.0613,0.8847,0.2613
0.4996,0.9507,0.838,0.3167
0.4817,1.0947,0.8965,0.2164
0.4542,0.4892,0.6617,0.4915
0.5014,0.8759,0.8366,0.3236
0.4715,0.9533,0.8481,0.2364
0.4957,0.3765,0.6146,1.1996
0.4526,0.8249,0.8247,0.2176
0.4831,0.7964,0.8081,0.3093
0.4752,0.7265,0.7783,0.3276
0.4942,0.7342,0.7713,0.4068
0.4644,0.4069,0.6053,0.846
0.4916,0.8999,0.8608,0.2691
0.4666,0.8802,0.8056,0.2678
0.5036,0.5225,0.6584,0.9031
0.4672,0.7931,0.7667,0.3197
0.4904,0.9475,0.8441,0.2843
0.4744,0.741,0.7843,0.3164
0.4634,1.0724,0.8852,0.1919
0.4795,0.3982,0.6182,0.9256
0.508,0.6826,0.7324,0.5744
0.4809,0.7166,0.7629,0.3724
0.4515,0.8725,0.835,0.2069
0.4663,0.9195,0.8421,0.2308
0.4537,0.6045,0.7062,0.3771
0.4647,0.666,0.7479,0.341
0.5,0.7552,0.7883,0.396
0.4778,1.0012,0.8925,0.2121
0.4768,0.8004,0.7929,0.3114
0.4961,1.0586,0.9248,0.2218
0.487,1.0859,0.9251,0.2053
0.4578,1.015,0.8839,0.1835
0.4828,0.7063,0.7698,0.3668
0.4955,0.5614,0.6795,0.7002
0.4867,0.6301,0.7067,0.5339
0.5077,0.6836,0.7403,0.5471
0.4906,0.88,0.8326,0.2984
0.5096,1.0102,0.8911,0.2804
0.4537,0.8762,0.8012,0.2414
0.4929,0.6963,0.7652,0.4136
0.4885,0.5449,0.6955,0.583
0.4866,0.4515,0.6483,0.7915
0.4765,1.0158,0.879,0.2202
0.4901,0.949,0.8798,0.2473
0.4846,0.6091,0.7209,0.4811
0.4832,0.7401,0.7493,0.4073
0.4773,0.3587,0.5825,1.2779
0.4696,0.4617,0.6356,0.7067
0.4914,0.5392,0.6695,0.7164
0.4515,0.8344,0.8138,0.2249
0.4534,0.4291,0.632,0.5945
0.4644,0.4411,0.6226,0.7326
0.4512,0.4281,0.6397,0.5485
0.4908,0.4072,0.6108,1.1611
0.4656,1.0773,0.9102,0.1795
0.5037,0.4276,0.634,1.1141
0.5026,0.9056,0.8484,0.3117
0.4566,0.521,0.6663,0.4906
0.4649,0.611,0.7257,0.3821
0.4598,0.5746,0.6762,0.4785
0.4966,0.6056,0.7247,0.5333
0.4875,0.7788,0.7983,0.3362
0.4967,0.8073,0.8047,0.3561
0.5013,1.0119,0.8835,0.2687
0.4658,0.5593,0.7038,0.4344
0.4549,1.0944,0.901,0.1686
0.4941,0.8076,0.7948,0.3635
0.4666,0.4911,0.6547,0.5944
0.4605,0.9918,0.862,0.2031
0.4724,0.5531,0.6892,0.5078
0.465,0.5474,0.6605,0.5606
0.4823,1.0941,0.9397,0.1879
0.4588,0.8344,0.7942,0.261
0.5029,0.3872,0.6015,1.5434
0.4948,0.514,0.6486,0.8747
0.4569,0.6379,0.7188,0.3647
0.4786,0.8658,0.8319,0.2686
0.5032,0.8119,0.7845,0.4156
0.499,0.6741,0.7497,0.4759
0.4776,0.3936,0.6314,0.8076
0.4904,0.5449,0.6735,0.6892
0.4953,0.6449,0.7277,0.5171
0.4773,1.0182,0.8917,0.2119
0.5094,0.8632,0.8419,0.3399
0.4991,0.603,0.7192,0.5658
0.5001,1.081,0.8956,0.2542
0.4915,0.9463,0.8391,0.2931
0.5043,0.4185,0.6174,1.3234
0.4648,1.0031,0.8785,0.199
0.4831,0.4152,0.6193,0.9619
0.4738,0.4672,0.6548,0.6463
0.4768,0.4888,0.6567,0.6601
0.4822,0.7164,0.7508,0.4002
0.5093,0.7139,0.7396,0.5583
0.4732,0.3884,0.6071,0.9382
0.4535,0.6068,0.6973,0.3949
0.4879,0.4674,0.6446,0.8281
0.47,0.8995,0.831,0.2493
0.5002,1.0808,0.9417,0.2167
0.4504,0.667,0.7431,0.3026
0.4656,0.6388,0.7402,0.3575
0.4948,0.7054,0.7305,0.507
0.4992,1.0995,0.9041,0.2447
0.4967,0.9206,0.8292,0.3199
0.4937,0.7216,0.7661,0.4152
0.499,0.9178,0.8213,0.3381
0.4751,0.6374,0.7213,0.435
0.4702,1.0404,0.8715,0.214
0.491,0.7815,0.7805,0.377
0.4943,0.3978,0.6109,1.2211
0.4822,0.5821,0.7093,0.5011
0.4683,0.4233,0.6332,0.7082
0.4994,0.5263,0.6777,0.742
0.502,0.3839,0.5916,1.7169
0.4588,0.5961,0.6995,0.4131
0.465,0.7363,0.7656,0.3146
0.4916,0.757,0.7616,0.4162
0.4655,0.3709,0.6079,0.8388
0.4923,0.9065,0.8478,0.285
0.451,0.9276,0.8638,0.1853
0.4708,1.0249,0.8654,0.2201
0.4978,0.4624,0.633,1.0382
0.4677,0.3607,0.6073,0.8688
0.4533,0.9115,0.8318,0.2129
0.4775,0.6459,0.7401,0.4032
0.4879,0.6863,0.7328,0.4661
0.481,0.5507,0.696,0.535
0.5057,1.0008,0.8913,0.2708
0.4996,0.9365,0.8627,0.2865
0.4528,0.4747,0.6581,0.4947
0.5086,0.8342,0.8281,0.358
0.4732,0.6151,0.7028,0.4727
0.4979,0.5947,0.6932,0.6564
0.4974,0.5785,0.6771,0.7283
0.4697,0.8544,0.8283,0.2512
0.4886,0.8883,0.8546,0.2684
0.4562,0.8933,0.8369,0.2146
0.4548,0.7434,0.763,0.2881
0.4695,0.8647,0.7993,0.2827
0.482,0.4566,0.6221,0.9253
0.4621,1.0316,0.9079,0.1756
0.476,0.8641,0.812,0.2846
0.4665,1.088,0.9137,0.1788
0.4657,0.7963,0.7691,0.3117
0.4581,0.7008,0.7531,0.3114
0.5038,0.3598,0.5834,1.9815
0.4846,0.698,0.73,0.4574
0.4857,1.0149,0.8818,0.2362
0.4937,0.9285,0.8268,0.3147
0.4888,0.4463,0.6421,0.8548
0.4926,0.5858,0.6965,0.606
0.4885,0.8536,0.8221,0.3061
0.4655,0.6944,0.767,0.3141
0.4648,0.4697,0.6611,0.5574
0.4644,0.4567,0.6264,0.7103
0.4957,0.6288,0.712,0.5691
0.498,0.7645,0.7716,0.4213
0.4959,0.9597,0.8736,0.2661
0.5081,0.5716,0.7027,0.6906
0.4874,0.4485,0.63,0.9277
0.4754,0.4134,0.6259,0.8213
0.5012,0.7237,0.7631,0.4535
0.4952,0.9267,0.8558,0.2833
0.4925,0.3654,0.6177,1.1116
0.4742,0.9752,0.8855,0.2108
0.5004,0.4705,0.6286,1.1189
0.4601,0.3775,0.6147,0.7375
0.4734,0.5665,0.6833,0.5323
0.461,0.5782,0.6954,0.4327
0.4648,0.4705,0.6349,0.6693
0.4919,1.0252,0.9067,0.2278
0.5005,0.7407,0.7716,0.4316
0.5058,0.7676,0.7811,0.4332
0.4612,1.0194,0.8906,0.1847
0.4621,0.7519,0.7522,0.3255
0.4584,0.9465,0.8411,0.2154
0.5078,0.7393,0.7734,0.4589
0.4846,0.4004,0.6012,1.1687
0.4853,0.6148,0.7233,0.4779
0.4524,0.7983,0.8088,0.2313
0.4626,1.0681,0.8831,0.192
0.4597,0.8436,0.8354,0.2229
0.495,0.7593,0.7603,0.4327
0.4967,0.5154,0.6533,0.8619
0.479,0.4501,0.622,0.8894
0.495,0.464,0.6426,0.9212
0.4891,0.9723,0.8525,0.2719
0.5027,1.0097,0.9039,0.2521
0.5065,0.4808,0.6504,0.9991
0.4968,0.3797,0.6064,1.3287
0.4777,0.8279,0.812,0.2891
0.4771,0.889,0.8355,0.2611
0.4526,0.4736,0.6341,0.5801
0.4701,0.4003,0.6337,0.7217
0.5003,0.9538,0.8763,0.2736
0.4655,0.4782,0.657,0.5772
0.4755,1.0309,0.894,0.2069
0.4531,0.7194,0.7539,0.2953
0.451,0.8463,0.8174,0.2206
0.5032,0.9349,0.8586,0.3007
0.4503,0.9616,0.8738,0.1777
0.4871,0.4258,0.6117,1.0915
0.464,0.755,0.7898,0.2796
0.4673,1.0709,0.9051,0.1854
0.4602,0.4452,0.6215,0.6998
0.4834,1.0521,0.9136,0.207
0.5086,0.5318,0.6806,0.8096
0.4711,1.0322,0.8979,0.1965
0.4942,0.3887,0.5945,1.4568
0.4643,0.5102,0.6609,0.5547
0.4945,0.4759,0.6346,0.9798
0.4954,0.6817,0.7492,0.4605
0.4868,0.4753,0.6683,0.685
0.4593,0.7603,0.7554,0.3121
0.4787,0.6165,0.719,0.4569
0.4593,1.0586,0.9186,0.1653
0.477,1.0682,0.9045,0.2021
0.4695,0.3795,0.5987,0.9639
0.4562,0.4445,0.6538,0.5288
0.4699,0.8756,0.8384,0.2419
0.4894,1.0675,0.8862,0.2401
0.4865,0.7345,0.7509,0.4175
0.4802,0.7827,0.784,0.3346
0.4874,0.5982,0.6848,0.6168
0.4997,0.9376,0.8411,0.3129
0.4557,0.3677,0.6069,0.7428
0.464,0.719,0.7477,0.3389
0.5001,0.5906,0.6867,0.703
0.4769,0.8916,0.8516,0.2448
0.499,0.6064,0.6966,0.6503
0.456,0.5299,0.6587,0.5115
0.4804,0.9805,0.8836,0.224
0.4584,0.5691,0.6849,0.447
0.4772,0.8662,0.8034,0.2986
0.49,0.9405,0.8515,0.2752
0.465,0.7171,0.7429,0.3506
0.4651,0.7229,0.749,0.3406
0.4932,0.5614,0.674,0.7091
0.4594,0.5377,0.6786,0.4693
0.4515,1.0026,0.8558,0.1914
0.5076,0.8122,0.8001,0.4023
0.4709,1.0471,0.9186,0.1829
0.4726,0.3651,0.5942,1.0523
0.4847,0.4119,0.6084,1.0899
0.497,0.7746,0.7721,0.4163
0.4979,0.9668,0.884,0.2604
0.4776,1.0916,0.9191,0.1934
0.4614,0.3792,0.6029,0.8288
0.4881,0.4974,0.6474,0.8117
0.4771,0.79,0.7719,0.3436
0.4673,0.7859,0.7695,0.316
0.4836,0.8026,0.8015,0.3196
0.4846,1.018,0.8931,0.2247
0.5037,0.4939,0.6504,0.9642
0.4939,0.4805,0.646,0.8831
0.4559,0.8452,0.8248,0.2243
0.477,0.6031,0.721,0.4441
0.455,0.3643,0.5883,0.8652
0.4504,1.0838,0.9425,0.1418
0.4705,0.4351,0.6475,0.6539
0.5088,0.511,0.6476,1.0557
0.4979,0.8375,0.8183,0.339
0.4534,0.5616,0.6773,0.4426
0.4508,0.8477,0.7973,0.2388
0.4892,1.0168,0.8916,0.235
0.4908,0.5137,0.684,0.644
0.452,1.0094,0.8705,0.1825
0.4779,0.9855,0.8507,0.2478
0.496,0.9844,0.8791,0.2608
0.453,0.5233,0.6862,0.418
0.4714,0.9184,0.8195,0.2643
0.4991,0.9955,0.8521,0.2976
0.4691,0.9837,0.8478,0.2315
0.4877,0.4113,0.6349,0.8934
0.4903,0.9212,0.832,0.2985
0.4641,0.6495,0.7106,0.4107
0.4864,0.3569,0.5828,1.4751
0.468,0.7057,0.7356,0.375
0.4688,0.9939,0.8579,0.2222
0.4963,0.7401,0.7818,0.3944
0.507,1.063,0.9117,0.2543
0.4687,0.9305,0.8633,0.2176
0.4923,0.8663,0.815,0.3268
0.5015,0.6717,0.7466,0.4962
0.5064,1.0654,0.9314,0.2362
0.4962,0.9582,0.8565,0.2851
0.5014,0.9235,0.8284,0.3352
0.5075,0.4815,0.6593,0.94
0.5022,0.4161,0.6334,1.0967
0.506,0.9706,0.8773,0.2863
0.4712,0.7877,0.7667,0.3325
0.4639,1.0247,0.8847,0.1932
0.4543,0.373,0.5953,0.8044
0.4628,0.5625,0.6834,0.4737
0.4636,0.8304,0.8285,0.2372
0.4711,0.4203,0.6244,0.786
0.4522,0.967,0.8582,0.1911
0.4851,0.4321,0.6477,0.7806
0.4983,0.3635,0.6166,1.2212
0.468,0.7971,0.7876,0.2932
0.481,0.5922,0.713,0.4843
0.4531,0.756,0.7823,0.2601
0.4556,0.6258,0.7053,0.3868
0.4969,0.7131,0.7671,0.4263
0.4691,0.9861,0.8973,0.1933
0.505,0.5679,0.6886,0.7337
0.451,1.0728,0.9053,0.1605
0.4599,0.88,0.8289,0.229
0.4875,0.9562,0.8385,0.2835
0.5083,0.5985,0.7026,0.6926
0.4837,1.0603,0.9063,0.2128
0.4596,0.9635,0.8811,0.1883
0.5094,0.5918,0.7134,0.6539
0.4618,0.3669,0.6145,0.7555
0.4592,0.7822,0.7892,0.2676
0.4993,0.3927,0.6098,1.3308
0.5014,0.844,0.795,0.3889
0.5033,0.4994,0.6512,0.953
0.4898,1.0725,0.9152,0.2173
0.4826,1.0299,0.8998,0.2156
0.4632,0.8192,0.8039,0.2613
0.5076,0.3834,0.5957,1.7955
0.4725,0.4205,0.6279,0.7784
0.4565,0.3736,0.6093,0.7353
0.4526,0.489,0.6568,0.4981
0.4784,0.9909,0.8676,0.2335
0.4946,0.6691,0.7276,0.5136
0.4797,0.9712,0.8587,0.2441
0.4645,0.861,0.8294,0.2384
0.4512,0.4653,0.6597,0.4809
0.4725,1.063,0.9204,0.1842
0.4906,0.8597,0.8402,0.2894
0.4693,0.5151,0.6607,0.5884
0.4969,0.9138,0.8574,0.2859
0.4981,0.6441,0.7343,0.513
0.4757,1.075,0.9384,0.1785
0.4564,0.6162,0.7074,0.3853
0.4654,0.8406,0.7952,0.2767
0.4957,1.0521,0.9268,0.2195
0.4813,0.4013,0.6118,1.0051
0.4804,1.0057,0.8822,0.2253
0.4863,0.8225,0.7979,0.3329
0.4819,0.3745,0.6039,1.0936
0.4931,0.433,0.6129,1.1757
0.4905,0.647,0.7087,0.5495
0.4598,0.9461,0.8662,0.1988
0.4998,0.4503,0.6548,0.8855
0.4939,0.9684,0.8477,0.2892
0.4747,0.5304,0.6803,0.5504
0.4515,1.072,0.9301,0.1489
0.4531,0.9397,0.8382,0.2075
0.4737,0.8963,0.8266,0.2623
0.4575,0.9457,0.8446,0.2109
0.499,0.7664,0.7786,0.4111
0.4814,0.5747,0.6753,0.6133
0.5095,0.5706,0.679,0.8274
0.4671,0.48,0.6667,0.5514
0.4921,0.4046,0.6299,0.9875
0.4976,0.4018,0.6158,1.2177
0.4578,1.0166,0.9115,0.167
0.4569,1.0125,0.881,0.1838
0.4838,0.8185,0.8176,0.2987
0.496,0.5781,0.7073,0.5876
0.4832,0.7777,0.7686,0.3704
0.4614,0.9659,0.8673,0.2009
0.4915,0.6934,0.7329,0.4833
0.4809,0.7943,0.768,0.363
0.4723,1.0907,0.8945,0.2008
0.509,0.8509,0.821,0.3708
0.4842,0.9218,0.8647,0.2484
0.5074,0.7253,0.7561,0.5003
0.4804,0.3548,0.5885,1.2559
0.4739,0.5772,0.6759,0.5612
0.4984,0.6947,0.7478,0.4781
0.508,1.0776,0.9341,0.2371
0.5077,0.8509,0.8356,0.3439
0.4598,0.6433,0.7434,0.332
0.4709,0.3878,0.5942,1.0252
0.47,1.0549,0.8957,0.196
0.5038,0.817,0.8222,0.3519
0.4968,0.7073,0.7511,0.4624
0.4705,0.6351,0.7151,0.4286
0.4669,1.0046,0.8615,0.2155
0.453,0.5431,0.6641,0.4771
0.45,0.7333,0.7419,0.3029
0.4836,0.4332,0.6286,0.8935
0.4897,0.7683,0.7888,0.3584
0.4667,0.514,0.6535,0.5997
0.5079,0.5028,0.6622,0.9231
0.485,0.9594,0.8532,0.2614
0.4677,0.3508,0.5862,1.0608
0.4734,0.5217,0.6734,0.5668
0.5004,0.4914,0.663,0.8367
0.4555,1.0081,0.8711,0.1879
0.4648,1.0297,0.8796,0.1982
0.4688,0.658,0.7168,0.4171
0.464,0.3816,0.5903,0.9649
0.4959,0.35,0.591,1.5625
0.4506,0.8271,0.8238,0.2142
0.5051,0.56,0.7012,0.6748
0.4761,0.8926,0.8082,0.2894
0.4638,0.3511,0.6027,0.8586
0.4643,0.9185,0.8573,0.214
0.4749,0.7614,0.7705,0.3387
0.5015,0.725,0.767,0.4462
0.5044,1.0936,0.9039,0.2559
0.4779,0.5202,0.6787,0.5767
0.4611,0.6066,0.7039,0.4129
0.4757,0.4062,0.6041,0.9999
0.5019,0.6927,0.7437,0.5061
0.4669,1.0725,0.8851,0.198
0.475,0.9666,0.8835,0.2138
0.4515,0.8341,0.7914,0.2463
0.4551,0.6392,0.7027,0.3901
0.4957,0.9752,0.866,0.2735
0.4546,0.616,0.7132,0.3668
0.4584,0.7493,0.7656,0.2948
0.4687,0.6706,0.7415,0.3667
0.451,0.7341,0.7505,0.2939
0.4953,0.4273,0.6432,0.9193
0.4959,0.8178,0.8124,0.3413
0.4614,0.9444,0.8765,0.1944
0.4611,0.4137,0.6197,0.7188
0.4826,0.5208,0.6878,0.5733
0.4781,0.6997,0.7596,0.368
0.5073,0.3637,0.5891,1.9528
0.4743,1.0991,0.8954,0.2037
0.4974,0.5891,0.7045,0.6077
0.5023,0.3719,0.6155,1.3105
0.4688,0.5533,0.6875,0.4933
0.4509,0.6343,0.7121,0.3548
0.4778,1.0857,0.9168,0.1951
0.4848,0.4749,0.6572,0.7239
0.5079,0.3537,0.6118,1.4846
0.4546,0.3531,0.6015,0.7658
0.4529,0.9654,0.8817,0.1769
0.5097,0.5245,0.6528,1.0197
0.4886,0.6659,0.739,0.4536
0.4726,0.9579,0.8867,0.207
0.4929,0.7949,0.7686,0.407
0.488,1.0036,0.8976,0.2276
0.5015,0.9643,0.8664,0.2872
0.4986,0.9576,0.8803,0.2655
0.4878,0.6621,0.7167,0.5093
0.4552,0.7676,0.7938,0.2527
0.5078,0.417,0.6305,1.2199
0.4834,0.9346,0.8265,0.2867
0.5001,0.3922,0.6216,1.1913
0.4975,0.6885,0.7288,0.5258
0.4923,0.6914,0.7517,0.4406
0.4597,1.0706,0.9131,0.1689
0.4749,0.5437,0.6942,0.5068
0.4778,0.6348,0.735,0.4155
0.4923,1.0439,0.8821,0.2499
0.4775,0.8938,0.837,0.2606
0.4687,0.5939,0.711,0.4302
0.4739,0.9707,0.85,0.2397
0.4671,0.6823,0.7454,0.3536
0.498,0.5312,0.6563,0.8561
0.5052,1.0949,0.8949,0.2662
0.4994,1.0623,0.9197,0.2319
0.4827,0.5253,0.6767,0.6166
0.4605,0.7758,0.7851,0.276
0.4999,0.4399,0.6425,0.9812
0.4664,1.0667,0.9341,0.1673
0.5095,0.7584,0.7952,0.4192
0.4742,0.5953,0.709,0.4615
0.4605,1.0001,0.8685,0.1984
0.5026,0.6421,0.7243,0.5695
0.5086,0.4264,0.6091,1.5477
0.5007,0.4236,0.6259,1.1524
0.4556,1.0322,0.9033,0.1684
0.4999,0.5548,0.6849,0.7101
0.4702,0.4508,0.6216,0.7951
0.4776,0.9984,0.8818,0.2201
0.479,1.0231,0.912,0.2005
0.4588,0.5735,0.6753,0.4758
0.5002,0.4773,0.6313,1.0898
0.4586,0.6366,0.7225,0.3641
0.4591,0.7081,0.7561,0.3102
0.4781,0.9507,0.8418,0.2571
0.5066,1.0701,0.912,0.2532
0.5022,0.9444,0.8621,0.294
0.4803,1.0558,0.925,0.194
0.5073,0.9034,0.8402,0.336
0.4699,0.7254,0.7658,0.3296
0.4764,0.4292,0.6342,0.7777
0.4982,1.0979,0.8941,0.2515
0.4661,0.4257,0.6148,0.7976
0.4887,0.6463,0.7337,0.4675
0.4953,1.0388,0.9214,0.2228
0.4661,0.6263,0.7326,0.3736
0.4991,0.3801,0.6215,1.1773
0.469,0.4152,0.6153,0.8247
0.473,0.5122,0.6631,0.6044
0.4722,0.3893,0.6211,0.8196
0.4525,0.5916,0.7028,0.3792
0.4709,0.4332,0.6423,0.6832
0.4754,0.3815,0.6166,0.8878
0.4604,0.884,0.8452,0.2161
0.4874,0.8237,0.8136,0.314
0.4804,0.8086,0.7728,0.3532
0.4646,1.0798,0.9092,0.1787
0.5039,0.7438,0.7768,0.4344
0.4637,1.0973,0.9462,0.1572
0.5062,0.8659,0.7997,0.398
0.4534,0.9985,0.8959,0.1693
0.4904,0.4109,0.6376,0.9045
0.4726,0.9514,0.8552,0.2323
0.5078,0.431,0.6288,1.2388
0.4706,0.4509,0.6229,0.7908
0.5037,0.8275,0.8096,0.3716
0.5026,0.5435,0.6856,0.7287
0.4878,0.6524,0.7381,0.4524
0.4716,0.5528,0.6973,0.48
0.4595,1.062,0.9279,0.1607
0.4611,0.3928,0.616,0.7391
0.4799,0.6642,0.7505,0.3919
0.4637,0.4077,0.6116,0.794
0.4931,0.9326,0.8592,0.2743
0.4937,0.7223,0.755,0.4392
0.4852,0.6915,0.7451,0.4247
0.4764,0.833,0.8007,0.2997
0.4897,0.4088,0.6215,1.0312
0.4951,0.7347,0.755,0.4453
0.4936,0.5786,0.7083,0.5694
0.4873,0.9968,0.9023,0.2226
0.5034,0.8808,0.8058,0.3769
0.4608,0.5282,0.6914,0.4417
0.4656,0.8981,0.8593,0.2148
0.4653,0.6214,0.7122,0.4123
0.4686,1.0812,0.9108,0.1839
0.4547,1.0666,0.8955,0.1714
0.4892,1.0537,0.9238,0.21
0.5019,0.7049,0.7712,0.4381
0.5081,0.3999,0.6214,1.3405
0.5022,0.448,0.6482,0.9634
0.4723,0.9199,0.8366,0.249
0.5032,0.8344,0.7967,0.3923
0.4604,0.6754,0.7327,0.3522
0.4789,0.438,0.6185,0.9159
0.4993,0.6155,0.7175,0.5724
0.4636,0.5781,0.6862,0.4694
0.4659,0.3657,0.5858,1.0362
0.5046,0.6371,0.726,0.5757
0.4921,0.6196,0.7038,0.5762
0.4553,0.7157,0.7358,0.3293
0.4907,1.0488,0.9284,0.2095
0.4979,0.4303,0.6399,0.9781
0.4761,0.9304,0.8546,0.2402
0.4862,0.8512,0.8203,0.3019
0.5005,0.5159,0.6622,0.8423
0.5043,0.631,0.7198,0.595
0.5069,1.0742,0.9295,0.2388
0.4681,0.8811,0.8062,0.2708
0.4626,1.0235,0.8746,0.1978
0.4562,0.6445,0.7259,0.349
0.5094,1.0171,0.8807,0.291
0.4921,0.658,0.7297,0.4946
0.4954,0.7395,0.7518,0.454
0.4541,0.7623,0.7716,0.2753
0.5006,0.6785,0.7316,0.5347
0.4655,0.4735,0.6417,0.6422
0.5069,0.4042,0.6347,1.1551
0.4832,1.077,0.9151,0.2056
0.4512,0.4433,0.6318,0.5795
0.45,1.0363,0.9144,0.1545
0.5008,0.4456,0.6322,1.0889
0.4895,0.8692,0.8397,0.2873
0.5004,0.3631,0.5835,1.8601
0.4508,0.5363,0.6644,0.465
0.479,0.9545,0.8626,0.2392
0.4747,0.6706,0.7276,0.4185
0.4923,0.667,0.7267,0.5041
0.5059,0.6478,0.7071,0.6555
